"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRN","MEATCONSUMP","POULTRY","KG_CAP","A","2017",22.920847477,
"IRN","MEATCONSUMP","SHEEP","KG_CAP","A","2017",3.264649282,
"ISR","MEATCONSUMP","BEEF","KG_CAP","A","2017",19.270854703,
"ISR","MEATCONSUMP","PIG","KG_CAP","A","2017",1.565151465,
"ISR","MEATCONSUMP","POULTRY","KG_CAP","A","2017",58.593252583,
"ISR","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.865110388,
"KAZ","MEATCONSUMP","BEEF","KG_CAP","A","2017",17.210363405,
"KAZ","MEATCONSUMP","PIG","KG_CAP","A","2017",4.88446804,
"KAZ","MEATCONSUMP","POULTRY","KG_CAP","A","2017",15.521881588,
"KAZ","MEATCONSUMP","SHEEP","KG_CAP","A","2017",7.872511165,
"MYS","MEATCONSUMP","BEEF","KG_CAP","A","2017",4.816551191,
"MYS","MEATCONSUMP","PIG","KG_CAP","A","2017",6.005826953,
"MYS","MEATCONSUMP","POULTRY","KG_CAP","A","2017",46.47059545,
"MYS","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.040749193,
"NGA","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.403656521,
"NGA","MEATCONSUMP","PIG","KG_CAP","A","2017",1.043618103,
"NGA","MEATCONSUMP","POULTRY","KG_CAP","A","2017",1.341575654,
"NGA","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.775139967,
"PAK","MEATCONSUMP","BEEF","KG_CAP","A","2017",6.247618319,
"PAK","MEATCONSUMP","PIG","KG_CAP","A","2017",0.000000752,
"PAK","MEATCONSUMP","POULTRY","KG_CAP","A","2017",4.498154879,
"PAK","MEATCONSUMP","SHEEP","KG_CAP","A","2017",2.106468848,
"PRY","MEATCONSUMP","BEEF","KG_CAP","A","2017",27.336936464,
"PRY","MEATCONSUMP","PIG","KG_CAP","A","2017",20.521204414,
"PRY","MEATCONSUMP","POULTRY","KG_CAP","A","2017",5.548768571,
"PRY","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.516801213,
"PHL","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.122439143,
"PHL","MEATCONSUMP","PIG","KG_CAP","A","2017",15.427820202,
"PHL","MEATCONSUMP","POULTRY","KG_CAP","A","2017",12.631579786,
"PHL","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.486979252,
"RUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.714651752,
"RUS","MEATCONSUMP","PIG","KG_CAP","A","2017",20.915238719,
"RUS","MEATCONSUMP","POULTRY","KG_CAP","A","2017",31.530994129,
"RUS","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.427596681,
"SAU","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.487399972,
"SAU","MEATCONSUMP","PIG","KG_CAP","A","2017",0.236809485,
"SAU","MEATCONSUMP","POULTRY","KG_CAP","A","2017",39.674302755,
"SAU","MEATCONSUMP","SHEEP","KG_CAP","A","2017",5.058210787,
"ZAF","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.737484897,
"ZAF","MEATCONSUMP","PIG","KG_CAP","A","2017",3.699408308,
"ZAF","MEATCONSUMP","POULTRY","KG_CAP","A","2017",35.872012653,
"ZAF","MEATCONSUMP","SHEEP","KG_CAP","A","2017",3.458423288,
"THA","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.733841318,
"THA","MEATCONSUMP","PIG","KG_CAP","A","2017",10.418078676,
"THA","MEATCONSUMP","POULTRY","KG_CAP","A","2017",14.510841454,
"THA","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.042893906,
"UKR","MEATCONSUMP","BEEF","KG_CAP","A","2017",5.437229998,
"UKR","MEATCONSUMP","PIG","KG_CAP","A","2017",10.939392764,
"UKR","MEATCONSUMP","POULTRY","KG_CAP","A","2017",20.635465341,
"UKR","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.298549572,
"VNM","MEATCONSUMP","BEEF","KG_CAP","A","2017",9.93282521,
"VNM","MEATCONSUMP","PIG","KG_CAP","A","2017",30.367823326,
"VNM","MEATCONSUMP","POULTRY","KG_CAP","A","2017",12.96160919,
"VNM","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.083634303,
"NOR","MEATCONSUMP","BEEF","KG_CAP","A","2017",13.427652003,
"NOR","MEATCONSUMP","PIG","KG_CAP","A","2017",20.235519485,
"NOR","MEATCONSUMP","POULTRY","KG_CAP","A","2017",17.587283543,
"NOR","MEATCONSUMP","SHEEP","KG_CAP","A","2017",4.580827573,
"CHE","MEATCONSUMP","BEEF","KG_CAP","A","2017",14.452571701,
"CHE","MEATCONSUMP","PIG","KG_CAP","A","2017",22.914106115,
"CHE","MEATCONSUMP","POULTRY","KG_CAP","A","2017",14.350494926,
"CHE","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.278169162,
